k, flow, paths, time
12,22442, 1093, 148207819
12,16670, 836, 138326118
12,28797, 1426, 232538921
12,22846, 1143, 200955480
12,22051, 1066, 183629615
12,19040, 948, 149766039
12,21483, 1058, 168151778
12,25257, 1204, 179736042
12,27261, 1351, 212907182
12,28380, 1384, 221448929
12,18779, 920, 141681258
12,22198, 1106, 190320675
12,24366, 1212, 210974282
12,24192, 1169, 211066647
12,20895, 1067, 173404846
12,26605, 1310, 235652927
12,22659, 1201, 195838656
12,28502, 1391, 221724634
12,23829, 1190, 189821314
12,24785, 1222, 173938818
12,23671, 1175, 200671577
12,26985, 1325, 199356834
12,25471, 1276, 186737671
12,19896, 983, 143470987
12,18639, 934, 150474479
12,20312, 997, 155435522
12,26614, 1351, 214381951
12,24749, 1233, 217073549
12,22036, 1137, 164426374
12,19917, 990, 138592711
12,19480, 1004, 148795949
12,13879, 722, 116538415
12,21581, 1112, 156022927
12,21192, 1051, 183690310
12,26268, 1313, 246342166
12,24601, 1189, 184250826
12,32073, 1601, 253717611
12,19722, 988, 159628261
12,22966, 1135, 167034962
12,28110, 1434, 217943299
12,25250, 1264, 205086907
12,24723, 1243, 183009587
12,22227, 1110, 181719809
12,18444, 917, 141325825
12,20879, 1034, 162660309
12,16098, 764, 115943125
12,24230, 1236, 200377673
12,12857, 641, 112639916
12,25971, 1271, 196594617
12,16382, 847, 124035405
12,26749, 1361, 213032236
12,20212, 1001, 133425853
12,22907, 1110, 174161421
12,23965, 1176, 202715114
12,22193, 1087, 176798605
12,21726, 1064, 186620435
12,17607, 889, 141982070
12,20439, 974, 161778215
12,18083, 864, 130852360
